url,aeo_score,readiness_level,missing_questions
https://www.drivio.in/22motors-scooters,20.0,Low,What is the mileage?; What is the engine capacity?; What are the key features?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/about-us,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/aeroride-ev,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/aftek-motors-scooters,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/amo-electric-ev,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/adventure,20.0,Low,What is the price?; What are the variants?; What is the engine capacity?; What are the key features?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/ampere-ev,20.0,Low,What is the mileage?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/application,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/aprilia-bikes,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/atumobile-ev,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/avan-motors-scooters,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/ather-energy-ev,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/avera-ev,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/avon-ev,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
https://www.drivio.in/bajaj-bikes,20.0,Low,What is the price?; What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/avera-scooters-scooters,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/bajaj-urbanite-scooters,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What are the alternative models?; What is the difference between variants?
https://www.drivio.in/banking-partners,20.0,Low,What is the mileage?; What are the variants?; What is the engine capacity?; What are the key features?; What is the difference between variants?
