id,crawl_id,page_url,schema_type,is_valid,raw_json,error_message
1,crawl_20260923_234141,https://www.drivio.in/,Organization,1,"{""@context"":""https://schema.org"",""@type"":""Organization"",""@id"":""https://www.drivio.in/#organization"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""description"":""Drivio is an automotive platform provid",
2,crawl_20260923_234141,https://www.drivio.in/,ImageObject,1,"{""@context"":""https://schema.org"",""@type"":""Organization"",""@id"":""https://www.drivio.in/#organization"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""description"":""Drivio is an automotive platform provid",
3,crawl_20260923_234141,https://www.drivio.in/,ContactPoint,1,"{""@context"":""https://schema.org"",""@type"":""Organization"",""@id"":""https://www.drivio.in/#organization"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""description"":""Drivio is an automotive platform provid",
4,crawl_20260923_234141,https://www.drivio.in/,WebSite,1,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""@id"":""https://www.drivio.in/#website"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""inLanguage"":""en-IN"",""publisher"":{""@id"":""https://www.drivio.in/#",
5,crawl_20260923_234141,https://www.drivio.in/,SearchAction,1,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""@id"":""https://www.drivio.in/#website"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""inLanguage"":""en-IN"",""publisher"":{""@id"":""https://www.drivio.in/#",
6,crawl_20260923_234141,https://www.drivio.in/22motors-scooters,Organization,1,"{""@context"":""https://schema.org"",""@type"":""Organization"",""@id"":""https://www.drivio.in/#organization"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""description"":""Drivio is an automotive platform provid",
7,crawl_20260923_234141,https://www.drivio.in/22motors-scooters,ImageObject,1,"{""@context"":""https://schema.org"",""@type"":""Organization"",""@id"":""https://www.drivio.in/#organization"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""description"":""Drivio is an automotive platform provid",
8,crawl_20260923_234141,https://www.drivio.in/22motors-scooters,ContactPoint,1,"{""@context"":""https://schema.org"",""@type"":""Organization"",""@id"":""https://www.drivio.in/#organization"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""description"":""Drivio is an automotive platform provid",
9,crawl_20260923_234141,https://www.drivio.in/22motors-scooters,WebSite,1,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""@id"":""https://www.drivio.in/#website"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""inLanguage"":""en-IN"",""publisher"":{""@id"":""https://www.drivio.in/#",
10,crawl_20260923_234141,https://www.drivio.in/22motors-scooters,SearchAction,1,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""@id"":""https://www.drivio.in/#website"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""inLanguage"":""en-IN"",""publisher"":{""@id"":""https://www.drivio.in/#",
11,crawl_20260923_234141,https://www.drivio.in/22motors/jawatest1,Organization,1,"{""@context"":""https://schema.org"",""@type"":""Organization"",""@id"":""https://www.drivio.in/#organization"",""name"":""Drivio"",""url"":""https://www.drivio.in"",""description"":""Drivio is an automotive platform provid",
