url,brand,model,coverage_score_pct,missing_sections,primary_missing_section
https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250,Husqvarna,Husqvarna Svartpilen 250,5.9,price; on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; comparison; emi; faqs; reviews,price
https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250,Husqvarna,Husqvarna Vitpilen 250,5.9,price; on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; comparison; emi; faqs; reviews,price
https://www.drivio.in/husqvarna-motorcycles/svartpilen-401,Husqvarna,Svartpilen 401,11.8,price; on_road_price; variants; specifications; mileage; power; torque; features; colors; pros; cons; comparison; emi; faqs; reviews,price
https://www.drivio.in/bikes/honda,Honda,Honda,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/bikes/hero,Hero,Hero,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/bikes/royal-enfield,,Royal Enfield,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/bikes/bajaj,Bajaj,Bajaj,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/scooters/hero,Hero,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/scooters/suzuki,Suzuki,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/scooters/yamaha,Yamaha,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/scooters/honda,Honda,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/electric-vehicles/hero,Hero,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/electric-vehicles/ola-electric,Ola,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/electric-vehicles/bajaj,Bajaj,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/electric-vehicles/ather-energy,Ather,Vehicle Model,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/bikes/cruiser,,Cruiser,23.5,on_road_price; variants; specifications; mileage; power; torque; colors; pros; cons; comparison; emi; faqs; reviews,on_road_price
https://www.drivio.in/bikes/street,,Street,23.5,on_road_price; variants; specifications; engine; power; torque; colors; pros; cons; comparison; emi; faqs; reviews,on_road_price
https://www.drivio.in/bikes/yamaha,Yamaha,Yamaha,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/bikes/commuter,,Commuter,23.5,on_road_price; variants; specifications; engine; power; torque; colors; pros; cons; comparison; emi; faqs; reviews,on_road_price
https://www.drivio.in/bikes/sports,,Sports,29.4,on_road_price; variants; specifications; engine; power; torque; colors; pros; cons; emi; faqs; reviews,on_road_price
https://www.drivio.in/bikes/adventure,,Adventure,23.5,on_road_price; variants; specifications; engine; power; torque; colors; pros; cons; comparison; emi; faqs; reviews,on_road_price
https://www.drivio.in/bikes/ktm,Ktm,Ktm,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/bikes/suzuki,Suzuki,Suzuki,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
https://www.drivio.in/bikes/harley-davidson,Harley-Davidson,Harley Davidson,23.5,on_road_price; variants; specifications; mileage; engine; power; torque; features; colors; pros; cons; faqs; reviews,on_road_price
